Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Austria,AUT,1960,7047539.0,1,2,3,6
Canada,CAN,1960,17909356.0,2,1,1,4
Finland,FIN,1960,4429634.0,2,3,3,8
France,FRA,1960,46649927.0,1,0,2,3
Italy,ITA,1960,50199700.0,0,0,1,1
Norway,NOR,1960,3581239.0,3,3,0,6
Poland,POL,1960,29637450.0,0,1,1,2
Sweden,SWE,1960,7484656.0,3,2,2,7
United States,USA,1960,180671000.0,3,4,3,10
Austria,AUT,1964,7223801.0,4,5,3,12
Canada,CAN,1964,19325000.0,1,1,1,3
Finland,FIN,1964,4548543.0,3,4,3,10
France,FRA,1964,48733997.0,3,4,0,7
United Kingdom,GBR,1964,54000000.0,1,0,0,1
Italy,ITA,1964,51675350.0,0,1,3,4
Norway,NOR,1964,3694339.0,3,6,6,15
"Korea, Dem. People's Rep.",PRK,1964,12787523.0,0,1,0,1
Sweden,SWE,1964,7661354.0,3,3,1,7
United States,USA,1964,191889000.0,1,2,4,7
Austria,AUT,1968,7415403.0,3,4,4,11
Canada,CAN,1968,20744000.0,1,1,1,3
Finland,FIN,1968,4626469.0,1,2,2,5
France,FRA,1968,50817020.0,4,3,2,9
Italy,ITA,1968,53235750.0,4,0,0,4
Norway,NOR,1968,3816486.0,6,6,2,14
Romania,ROU,1968,19799831.0,0,0,1,1
Sweden,SWE,1968,7912273.0,3,2,3,8
United States,USA,1968,200706000.0,1,5,1,7
Austria,AUT,1972,7544201.0,1,2,2,5
Canada,CAN,1972,22218463.0,0,1,0,1
Spain,ESP,1972,34604469.0,1,0,0,1
Finland,FIN,1972,4639657.0,0,4,1,5
France,FRA,1972,52637888.0,0,1,2,3
Italy,ITA,1972,54381345.0,2,2,1,5
Japan,JPN,1972,107188000.0,1,1,1,3
Norway,NOR,1972,3933004.0,2,5,5,12
Poland,POL,1972,33055650.0,1,0,0,1
Sweden,SWE,1972,8122300.0,1,1,2,4
United States,USA,1972,209896000.0,3,2,3,8
Austria,AUT,1976,7565525.0,2,2,2,6
Canada,CAN,1976,23449808.0,1,1,1,3
Finland,FIN,1976,4725664.0,2,4,1,7
France,FRA,1976,53966558.0,0,0,1,1
United Kingdom,GBR,1976,56211968.0,1,0,0,1
Italy,ITA,1976,55718260.0,1,2,1,4
Liechtenstein,LIE,1976,23416.0,0,0,2,2
Norway,NOR,1976,4026152.0,3,3,1,7
Sweden,SWE,1976,8222286.0,0,0,2,2
United States,USA,1976,218035000.0,3,3,4,10
Austria,AUT,1980,7549433.0,3,2,2,7
Canada,CAN,1980,24515667.0,0,1,1,2
Finland,FIN,1980,4779535.0,1,5,3,9
France,FRA,1980,55052582.0,0,0,1,1
United Kingdom,GBR,1980,56314216.0,1,0,0,1
Hungary,HUN,1980,10711122.0,0,1,0,1
Italy,ITA,1980,56433883.0,0,2,0,2
Japan,JPN,1980,116807000.0,0,1,0,1
Liechtenstein,LIE,1980,25003.0,2,2,0,4
Norway,NOR,1980,4085620.0,1,3,6,10
Sweden,SWE,1980,8310531.0,3,0,1,4
United States,USA,1980,227225000.0,6,4,2,12
Austria,AUT,1984,7561434.0,0,0,1,1
Canada,CAN,1984,25607053.0,2,1,1,4
Finland,FIN,1984,4881803.0,4,3,6,13
France,FRA,1984,56275701.0,0,1,2,3
United Kingdom,GBR,1984,56422072.0,1,0,0,1
Italy,ITA,1984,56576718.0,2,0,0,2
Japan,JPN,1984,120083000.0,0,1,0,1
Liechtenstein,LIE,1984,26420.0,0,0,2,2
Norway,NOR,1984,4140099.0,3,2,4,9
Sweden,SWE,1984,8336605.0,4,2,2,8
United States,USA,1984,235825000.0,4,4,0,8
Austria,AUT,1988,7585317.0,3,5,2,10
Canada,CAN,1988,26791747.0,0,2,3,5
Finland,FIN,1988,4946481.0,4,1,2,7
France,FRA,1988,57472651.0,1,0,1,2
Italy,ITA,1988,56629288.0,2,1,2,5
Japan,JPN,1988,122578000.0,0,0,1,1
Liechtenstein,LIE,1988,27944.0,0,0,1,1
Norway,NOR,1988,4209488.0,0,3,2,5
